At1,At2,At3,At4,At5,At6,At7,At8,At9,At10,At11,At12,At13,At14,At15,At16,Class_label
46, 100, 21, 70, 0, 60, 24, 42, 95, 8, 100, 46, 76, 25, 58, 0, 4
16, 90, 9, 57, 25, 35, 23, 20, 5, 35, 0, 81, 48, 70, 100, 52, 5
38, 51, 8, 66, 17, 19, 42, 0, 87, 26, 24, 71, 61, 100, 16, 84, 0
0, 65, 38, 79, 62, 100, 72, 86, 77, 65, 45, 43, 83, 21, 100, 46, 1
19, 81, 0, 41, 12, 0, 54, 1, 57, 29, 100, 71, 71, 100, 31, 91, 0
14, 91, 9, 52, 28, 10, 74, 0, 100, 29, 86, 81, 43, 100, 0, 49, 0
42, 83, 60, 53, 89, 11, 13, 0, 0, 76, 77, 57, 100, 92, 18, 100, 8
95, 54, 10, 71, 100, 18, 46, 0, 89, 28, 100, 70, 68, 59, 29, 69, 0
0, 87, 98, 100, 19, 70, 5, 42, 88, 49, 100, 58, 84, 28, 88, 0, 4
73, 64, 8, 100, 0, 59, 72, 13, 71, 45, 100, 45, 29, 41, 9, 0, 6
50, 3, 72, 68, 100, 29, 42, 86, 6, 72, 99, 48, 70, 7, 0, 0, 9
7, 100, 0, 56, 85, 37, 39, 77, 9, 15, 5, 62, 42, 92, 100, 16, 5
100, 77, 92, 100, 49, 76, 88, 48, 0, 15, 38, 0, 75, 89, 29, 27, 6
45, 93, 12, 60, 61, 32, 89, 29, 19, 0, 15, 43, 26, 93, 43, 100, 5
52, 91, 72, 100, 87, 44, 57, 43, 100, 61, 90, 93, 32, 0, 0, 12, 3
0, 42, 34, 57, 64, 79, 95, 100, 100, 85, 81, 57, 77, 28, 90, 43, 1
3, 63, 16, 100, 27, 89, 14, 32, 0, 0, 33, 5, 67, 10, 100, 48, 2
47, 38, 40, 82, 27, 49, 32, 75, 83, 40, 92, 42, 94, 35, 100, 43, 4
88, 80, 12, 93, 100, 100, 23, 91, 65, 68, 29, 46, 6, 23, 0, 0, 1
72, 100, 66, 84, 13, 63, 0, 39, 40, 28, 88, 31, 100, 22, 42, 0, 4
48, 100, 15, 83, 0, 39, 23, 1, 71, 0, 100, 99, 86, 77, 44, 98, 0
0, 33, 53, 88, 64, 100, 62, 78, 70, 57, 83, 36, 100, 14, 98, 0, 1
21, 92, 85, 100, 90, 37, 67, 34, 27, 0, 0, 26, 27, 43, 44, 42, 7
0, 70, 63, 98, 90, 69, 100, 89, 87, 67, 92, 44, 84, 77, 71, 0, 1
44, 100, 0, 89, 44, 53, 100, 63, 63, 0, 62, 36, 92, 80, 25, 49, 8
0, 75, 29, 79, 71, 91, 100, 100, 80, 74, 68, 48, 97, 21, 89, 0, 1
0, 13, 28, 64, 61, 82, 92, 61, 30, 84, 86, 56, 12, 28, 64, 80, 1
70, 91, 37, 63, 65, 27, 21, 0, 53, 40, 0, 13, 49, 100, 96, 91, 5
84, 15, 20, 100, 22, 63, 44, 0, 0, 93, 54, 59, 100, 95, 61, 97, 8
39, 80, 53, 27, 35, 19, 12, 0, 0, 31, 16, 72, 51, 98, 100, 100, 5
91, 100, 66, 81, 31, 58, 15, 26, 11, 0, 30, 17, 31, 45, 0, 47, 6
100, 100, 52, 80, 20, 52, 0, 20, 45, 0, 99, 5, 59, 30, 0, 25, 6
14, 55, 40, 61, 59, 40, 58, 62, 59, 21, 100, 15, 48, 5, 0, 0, 1
0, 58, 45, 100, 74, 93, 57, 37, 4, 0, 25, 22, 53, 41, 100, 65, 7
73, 100, 47, 70, 0, 42, 25, 41, 72, 45, 90, 64, 63, 32, 54, 25, 4
100, 18, 14, 90, 74, 55, 79, 30, 37, 62, 0, 3, 36, 0, 91, 44, 8
56, 83, 28, 61, 39, 12, 24, 0, 22, 40, 100, 72, 72, 100, 0, 72, 8
70, 100, 46, 66, 12, 38, 64, 25, 52, 29, 100, 41, 96, 38, 90, 0, 4
83, 100, 50, 4, 16, 67, 0, 30, 26, 0, 2, 8, 67, 34, 29, 37, 6
13, 100, 8, 93, 57, 66, 8, 41, 57, 27, 100, 50, 82, 23, 69, 80, 4
0, 61, 52, 100, 2, 79, 83, 44, 67, 8, 45, 0, 62, 30, 77, 38, 7
93, 91, 29, 100, 15, 79, 23, 36, 72, 53, 46, 21, 57, 0, 0, 6, 5
92, 89, 41, 100, 89, 93, 100, 62, 84, 80, 64, 0, 27, 19, 54, 37, 7
24, 13, 100, 89, 30, 66, 88, 32, 34, 0, 0, 34, 61, 72, 77, 30, 8
22, 83, 62, 100, 92, 78, 67, 30, 55, 29, 100, 17, 55, 0, 0, 7, 3
84, 100, 49, 62, 0, 88, 56, 43, 100, 57, 88, 78, 65, 21, 49, 0, 4
40, 84, 85, 100, 87, 43, 53, 61, 96, 4, 100, 23, 14, 89, 2, 39, 3
8, 76, 17, 100, 100, 72, 51, 38, 7, 19, 0, 33, 59, 18, 40, 0, 2
13, 71, 40, 100, 65, 69, 41, 34, 0, 23, 2, 8, 51, 6, 100, 0, 2
28, 52, 51, 85, 18, 58, 0, 28, 19, 0, 78, 1, 68, 13, 8, 94, 6
0, 86, 47, 26, 75, 11, 52, 35, 22, 0, 16, 28, 41, 48, 100, 52, 7
40, 76, 62, 100, 62, 43, 34, 40, 0, 16, 12, 11, 57, 10, 100, 0, 2
25, 76, 45, 100, 77, 66, 57, 25, 9, 3, 0, 7, 82, 49, 37, 0, 2
15, 100, 8, 70, 0, 39, 19, 20, 78, 21, 100, 77, 35, 30, 72, 0, 4
39, 100, 0, 82, 97, 55, 8, 10, 62, 99, 62, 81, 59, 67, 60, 28, 4
73, 66, 0, 95, 16, 1, 84, 29, 70, 51, 45, 35, 100, 69, 88, 100, 8
0, 99, 28, 100, 100, 91, 54, 57, 90, 0, 69, 25, 70, 28, 31, 23, 7
51, 100, 21, 77, 33, 49, 64, 20, 45, 12, 100, 17, 51, 82, 78, 7, 6
72, 77, 64, 100, 85, 59, 12, 13, 67, 56, 100, 68, 88, 83, 34, 88, 0
84, 100, 80, 82, 7, 55, 0, 25, 35, 0, 100, 7, 47, 69, 23, 19, 6
23, 38, 31, 100, 64, 84, 54, 45, 28, 10, 0, 5, 50, 3, 100, 0, 2
82, 76, 40, 100, 100, 98, 22, 72, 52, 54, 74, 30, 50, 5, 0, 0, 3
7, 89, 0, 78, 16, 26, 51, 0, 84, 20, 100, 61, 84, 67, 50, 98, 0
38, 100, 22, 81, 0, 60, 36, 38, 95, 46, 100, 60, 83, 31, 85, 0, 4
32, 95, 100, 100, 26, 95, 86, 71, 52, 45, 26, 33, 78, 7, 11, 0, 5
66, 94, 100, 100, 81, 96, 50, 81, 42, 50, 42, 97, 26, 0, 0, 12, 5
70, 65, 37, 82, 21, 100, 100, 90, 86, 65, 70, 39, 55, 14, 49, 0, 1
35, 96, 100, 100, 44, 78, 0, 73, 27, 60, 85, 46, 76, 17, 21, 0, 5
100, 65, 58, 100, 16, 96, 0, 27, 40, 0, 56, 15, 95, 58, 53, 61, 0
0, 90, 46, 100, 100, 98, 87, 76, 56, 56, 74, 66, 13, 12, 8, 0, 3
13, 22, 42, 55, 22, 10, 0, 0, 32, 36, 66, 69, 72, 100, 31, 49, 8
0, 93, 54, 100, 100, 13, 31, 37, 48, 0, 11, 57, 2, 32, 76, 38, 7
6, 100, 49, 80, 32, 54, 100, 59, 99, 99, 72, 77, 60, 38, 43, 0, 4
0, 75, 13, 100, 63, 73, 47, 34, 14, 4, 4, 10, 52, 47, 100, 0, 2
27, 90, 39, 77, 64, 52, 9, 11, 8, 60, 7, 40, 29, 38, 100, 100, 5
45, 100, 12, 9, 52, 41, 17, 4, 62, 0, 100, 21, 76, 60, 54, 66, 0
8, 100, 0, 28, 9, 90, 81, 67, 100, 75, 86, 64, 87, 32, 90, 0, 4
8, 38, 84, 100, 100, 18, 88, 58, 84, 35, 90, 11, 47, 0, 82, 5, 3
8, 37, 0, 77, 0, 55, 29, 38, 71, 55, 71, 42, 71, 20, 100, 0, 4
56, 89, 0, 55, 65, 58, 75, 11, 66, 0, 10, 60, 14, 97, 100, 96, 5
19, 100, 73, 83, 18, 60, 8, 37, 92, 33, 81, 44, 79, 21, 100, 0, 4
65, 100, 21, 85, 0, 52, 59, 52, 100, 64, 79, 62, 38, 57, 7, 0, 4
35, 74, 43, 83, 70, 80, 53, 53, 100, 42, 78, 17, 50, 0, 0, 4, 3
100, 100, 65, 85, 33, 64, 95, 2, 0, 11, 35, 0, 54, 22, 10, 43, 6
42, 100, 22, 76, 0, 52, 9, 34, 82, 41, 100, 47, 74, 24, 57, 0, 4
27, 80, 40, 100, 63, 67, 38, 65, 0, 12, 21, 27, 60, 10, 100, 53, 2
100, 86, 63, 100, 20, 78, 22, 43, 76, 47, 68, 32, 97, 0, 0, 24, 5
19, 81, 53, 28, 68, 92, 49, 52, 95, 26, 100, 9, 50, 0, 50, 2, 3
66, 100, 33, 78, 11, 53, 19, 25, 20, 0, 77, 1, 100, 24, 41, 26, 6
85, 87, 48, 72, 0, 73, 23, 100, 82, 96, 89, 64, 87, 31, 51, 33, 9
82, 100, 35, 78, 97, 39, 94, 81, 0, 1, 19, 42, 100, 11, 40, 94, 8
0, 84, 39, 100, 79, 78, 39, 55, 67, 48, 100, 21, 62, 0, 15, 75, 3
14, 88, 49, 100, 65, 2, 14, 53, 0, 31, 1, 7, 41, 0, 56, 40, 2
2, 78, 29, 36, 36, 0, 8, 27, 58, 49, 100, 79, 55, 100, 0, 88, 8
8, 100, 61, 87, 60, 65, 39, 92, 89, 64, 74, 3, 41, 6, 92, 0, 9
100, 48, 63, 79, 18, 100, 57, 30, 64, 62, 69, 26, 43, 0, 0, 19, 9
2, 94, 84, 100, 82, 74, 46, 57, 92, 42, 100, 14, 52, 0, 0, 1, 3
16, 78, 0, 100, 76, 92, 100, 78, 77, 35, 16, 0, 63, 64, 27, 41, 7
35, 100, 1, 77, 0, 57, 86, 62, 100, 77, 48, 25, 22, 41, 6, 0, 4
40, 63, 60, 100, 100, 82, 85, 40, 44, 62, 57, 0, 98, 19, 93, 3, 2
53, 100, 21, 74, 0, 38, 17, 92, 72, 0, 27, 31, 59, 51, 69, 39, 6
7, 49, 18, 94, 81, 100, 85, 0, 25, 14, 0, 0, 45, 87, 15, 3, 2
89, 100, 92, 3, 38, 46, 8, 12, 4, 0, 100, 14, 51, 23, 0, 12, 6
0, 78, 36, 100, 79, 18, 85, 67, 70, 41, 100, 16, 63, 96, 24, 16, 3
36, 78, 75, 100, 77, 82, 61, 34, 39, 0, 0, 8, 50, 8, 100, 7, 1
64, 92, 70, 100, 25, 62, 44, 13, 0, 24, 1, 30, 55, 58, 100, 47, 8
20, 43, 26, 16, 93, 83, 60, 91, 74, 24, 100, 22, 54, 5, 0, 0, 3
61, 91, 10, 98, 79, 64, 51, 31, 15, 0, 0, 30, 25, 53, 100, 52, 7
5, 85, 47, 100, 15, 93, 55, 70, 78, 50, 100, 29, 49, 14, 0, 0, 3
9, 100, 10, 91, 76, 61, 0, 31, 55, 24, 90, 31, 67, 29, 100, 0, 4
100, 90, 57, 50, 32, 60, 15, 30, 26, 89, 89, 7, 70, 73, 0, 43, 6
0, 62, 57, 100, 0, 93, 54, 58, 25, 7, 4, 5, 52, 35, 100, 2, 2
0, 100, 53, 100, 100, 88, 84, 56, 61, 9, 42, 58, 49, 31, 56, 46, 7
23, 91, 18, 100, 50, 75, 44, 55, 94, 43, 100, 16, 53, 1, 0, 6, 3
0, 76, 53, 85, 100, 100, 76, 81, 92, 63, 100, 40, 27, 20, 5, 86, 1
28, 94, 72, 21, 83, 94, 22, 76, 55, 64, 100, 41, 87, 86, 98, 0, 5
13, 94, 10, 63, 73, 46, 65, 0, 0, 8, 3, 57, 31, 100, 100, 74, 5
33, 69, 57, 100, 18, 3, 66, 39, 24, 11, 0, 15, 51, 14, 23, 0, 2
100, 100, 12, 82, 31, 56, 34, 5, 35, 0, 83, 0, 49, 16, 0, 37, 6
0, 73, 30, 100, 68, 87, 56, 51, 25, 22, 14, 2, 51, 4, 100, 0, 2
34, 76, 0, 41, 8, 0, 65, 11, 100, 47, 97, 35, 42, 100, 7, 20, 0
96, 75, 47, 100, 84, 79, 49, 50, 66, 0, 80, 25, 27, 39, 13, 15, 8
0, 35, 39, 53, 72, 75, 100, 84, 83, 44, 61, 88, 41, 27, 24, 70, 1
0, 91, 26, 57, 52, 22, 39, 0, 4, 39, 4, 81, 41, 100, 100, 98, 5
38, 73, 84, 41, 90, 0, 66, 7, 73, 49, 98, 93, 60, 62, 0, 75, 8
100, 31, 63, 46, 100, 87, 50, 100, 34, 57, 45, 23, 57, 0, 72, 22, 8
0, 61, 36, 82, 78, 100, 100, 95, 76, 71, 49, 47, 24, 23, 22, 0, 1
58, 83, 85, 100, 93, 77, 50, 57, 94, 40, 100, 11, 93, 0, 35, 30, 3
3, 79, 36, 1, 48, 39, 66, 0, 97, 14, 55, 55, 27, 89, 100, 24, 5
45, 87, 41, 100, 89, 96, 48, 65, 68, 55, 100, 26, 60, 0, 0, 3, 3
42, 100, 7, 71, 0, 41, 54, 38, 100, 44, 73, 73, 56, 27, 77, 79, 4
51, 69, 74, 37, 100, 41, 84, 4, 43, 41, 73, 75, 60, 100, 0, 83, 8
0, 55, 41, 82, 72, 100, 93, 65, 63, 29, 1, 0, 23, 4, 36, 5, 1
7, 94, 23, 51, 94, 47, 66, 0, 9, 41, 13, 56, 18, 97, 100, 100, 5
12, 55, 0, 15, 46, 100, 66, 0, 100, 30, 99, 73, 63, 100, 8, 93, 0
62, 62, 37, 81, 42, 55, 0, 28, 55, 24, 61, 45, 62, 51, 58, 0, 4
38, 100, 14, 74, 0, 46, 22, 35, 46, 35, 100, 53, 86, 27, 70, 0, 4
69, 76, 84, 12, 51, 91, 43, 52, 46, 13, 95, 7, 71, 2, 31, 0, 1
97, 95, 54, 79, 78, 100, 45, 86, 98, 37, 9, 42, 59, 20, 90, 0, 1
21, 100, 0, 64, 71, 23, 40, 7, 86, 18, 100, 6, 75, 91, 30, 81, 0
0, 92, 42, 100, 89, 24, 100, 83, 19, 23, 57, 40, 44, 17, 16, 0, 3
53, 81, 86, 35, 98, 69, 83, 37, 52, 9, 0, 3, 47, 0, 79, 2, 2
45, 69, 58, 100, 94, 83, 75, 47, 39, 18, 27, 0, 50, 9, 100, 87, 2
0, 64, 39, 82, 85, 99, 100, 100, 89, 75, 76, 16, 70, 32, 67, 1, 1
23, 36, 21, 100, 26, 84, 73, 64, 82, 37, 98, 12, 52, 0, 0, 11, 3
31, 51, 6, 51, 22, 6, 69, 0, 37, 6, 90, 83, 44, 87, 0, 80, 0
16, 100, 11, 71, 5, 39, 29, 34, 85, 11, 28, 28, 95, 18, 0, 0, 6
51, 100, 93, 94, 64, 73, 70, 61, 100, 39, 82, 12, 70, 0, 2, 7, 3
0, 94, 13, 100, 100, 77, 83, 44, 99, 13, 44, 75, 25, 29, 97, 36, 7
0, 68, 27, 19, 73, 93, 73, 52, 54, 47, 50, 0, 49, 34, 57, 38, 7
40, 78, 62, 100, 84, 67, 35, 39, 0, 100, 27, 22, 62, 7, 100, 0, 2
0, 88, 26, 63, 36, 86, 45, 23, 26, 19, 34, 0, 69, 2, 100, 10, 2
98, 78, 44, 76, 40, 74, 91, 98, 100, 69, 79, 42, 44, 18, 0, 0, 9
0, 77, 26, 100, 49, 87, 39, 54, 15, 26, 24, 74, 62, 4, 100, 1, 2
69, 97, 0, 90, 24, 45, 81, 3, 73, 0, 46, 45, 100, 89, 20, 27, 8
0, 94, 22, 100, 71, 94, 35, 51, 89, 0, 42, 46, 52, 32, 100, 83, 7
4, 77, 29, 100, 80, 98, 68, 69, 93, 46, 100, 67, 10, 0, 0, 4, 3
29, 100, 57, 69, 91, 76, 65, 37, 30, 0, 0, 11, 30, 31, 100, 33, 7
60, 81, 41, 79, 79, 96, 69, 100, 95, 74, 87, 49, 40, 23, 93, 0, 1
11, 84, 0, 34, 46, 0, 84, 20, 100, 67, 65, 100, 21, 70, 11, 24, 0
55, 27, 100, 100, 88, 92, 3, 78, 75, 43, 68, 31, 48, 5, 0, 0, 5
6, 100, 16, 79, 0, 53, 20, 33, 61, 32, 4, 37, 85, 28, 81, 0, 4
63, 85, 100, 100, 64, 97, 39, 68, 80, 38, 72, 8, 46, 1, 0, 25, 5
49, 92, 45, 100, 100, 91, 59, 52, 86, 5, 15, 0, 0, 38, 78, 38, 7
31, 91, 20, 90, 16, 57, 35, 52, 100, 79, 68, 9, 33, 31, 0, 0, 4
55, 89, 52, 100, 0, 71, 16, 53, 100, 60, 50, 65, 57, 33, 67, 0, 4
34, 78, 60, 100, 100, 81, 70, 57, 94, 39, 89, 9, 39, 0, 19, 17, 3
0, 79, 65, 71, 100, 100, 27, 90, 3, 1, 45, 68, 70, 41, 35, 0, 9
12, 73, 55, 30, 33, 0, 77, 6, 100, 44, 78, 53, 37, 100, 7, 67, 0
34, 74, 67, 6, 63, 60, 36, 15, 0, 0, 24, 20, 67, 11, 100, 0, 2
53, 92, 88, 8, 14, 86, 73, 65, 70, 39, 70, 13, 36, 1, 0, 0, 3
57, 100, 35, 87, 9, 58, 0, 28, 29, 2, 100, 0, 68, 16, 5, 5, 6
0, 96, 59, 100, 86, 72, 68, 36, 74, 0, 16, 13, 38, 34, 100, 37, 7
34, 100, 32, 100, 8, 64, 0, 19, 41, 0, 66, 66, 76, 42, 19, 60, 6
0, 30, 43, 90, 93, 24, 89, 63, 7, 59, 28, 17, 44, 0, 100, 4, 2
31, 100, 17, 68, 41, 36, 5, 0, 42, 35, 7, 81, 43, 99, 100, 97, 5
98, 100, 18, 78, 78, 53, 0, 26, 24, 0, 93, 2, 95, 25, 14, 25, 6
0, 76, 63, 91, 100, 100, 90, 80, 73, 60, 57, 24, 50, 20, 60, 0, 1
7, 100, 0, 73, 57, 81, 71, 80, 24, 52, 100, 23, 87, 41, 1, 2, 9
60, 90, 26, 82, 49, 39, 35, 0, 0, 23, 59, 54, 100, 90, 84, 100, 8
41, 100, 0, 80, 52, 8, 83, 77, 83, 49, 100, 19, 10, 0, 6, 2, 9
16, 100, 18, 27, 0, 47, 26, 29, 47, 19, 100, 54, 74, 30, 59, 0, 4
42, 98, 24, 76, 0, 53, 19, 54, 79, 16, 100, 48, 82, 24, 73, 0, 4
51, 92, 12, 63, 0, 8, 100, 27, 57, 37, 86, 86, 28, 100, 20, 56, 0
17, 100, 79, 9, 29, 75, 36, 41, 14, 44, 0, 62, 0, 39, 29, 0, 1
100, 52, 67, 47, 39, 51, 15, 21, 29, 0, 73, 10, 46, 94, 0, 84, 6
53, 91, 19, 48, 69, 100, 100, 46, 84, 62, 59, 23, 33, 21, 7, 0, 7
22, 100, 0, 80, 19, 55, 73, 44, 100, 68, 63, 57, 41, 29, 26, 0, 4
100, 100, 36, 100, 19, 75, 62, 43, 12, 10, 62, 77, 68, 14, 15, 52, 6
57, 87, 27, 69, 97, 100, 23, 83, 74, 4, 96, 52, 78, 10, 0, 0, 9
16, 100, 58, 94, 6, 66, 0, 38, 69, 34, 95, 56, 92, 28, 41, 0, 4
32, 70, 45, 100, 14, 84, 49, 49, 14, 20, 0, 0, 0, 9, 100, 22, 2
16, 68, 95, 99, 76, 82, 70, 92, 28, 13, 0, 84, 55, 87, 100, 0, 2
46, 84, 72, 100, 83, 71, 82, 26, 100, 36, 80, 12, 39, 0, 0, 3, 3
43, 100, 30, 87, 0, 57, 51, 61, 100, 75, 80, 62, 45, 31, 23, 0, 4
46, 95, 0, 94, 18, 100, 4, 92, 59, 61, 4, 32, 49, 7, 100, 0, 2
99, 54, 25, 4, 80, 100, 60, 82, 52, 57, 60, 33, 21, 9, 80, 72, 1
37, 100, 0, 72, 6, 57, 61, 67, 100, 18, 64, 66, 44, 32, 20, 38, 4
6, 5, 18, 35, 47, 63, 76, 88, 2, 100, 79, 68, 60, 35, 58, 0, 1
89, 78, 30, 100, 86, 80, 31, 92, 0, 23, 4, 0, 52, 1, 100, 5, 2
100, 100, 55, 91, 24, 72, 94, 93, 21, 66, 80, 35, 70, 8, 0, 0, 9
15, 9, 80, 15, 100, 100, 97, 81, 73, 38, 56, 7, 0, 0, 98, 17, 1
81, 69, 63, 100, 80, 82, 41, 41, 0, 68, 19, 42, 41, 44, 100, 74, 8
0, 78, 49, 100, 100, 69, 69, 70, 38, 48, 52, 11, 91, 79, 36, 0, 3
4, 86, 61, 100, 85, 72, 80, 20, 76, 0, 48, 37, 48, 40, 0, 10, 7
42, 73, 76, 46, 22, 79, 50, 43, 69, 6, 69, 42, 83, 30, 100, 52, 8
17, 3, 69, 100, 98, 69, 71, 35, 35, 4, 13, 0, 1, 35, 100, 51, 7
2, 96, 68, 100, 100, 91, 67, 93, 55, 49, 79, 66, 46, 6, 0, 56, 3
34, 100, 34, 76, 21, 49, 58, 47, 100, 34, 97, 56, 90, 26, 86, 0, 4
0, 31, 52, 51, 46, 100, 11, 74, 65, 52, 53, 45, 38, 0, 9, 26, 8
0, 74, 27, 100, 55, 100, 100, 98, 1, 80, 59, 55, 45, 28, 42, 0, 7
0, 100, 70, 100, 79, 88, 95, 50, 60, 10, 69, 2, 20, 35, 97, 38, 7
100, 94, 53, 80, 68, 34, 17, 0, 0, 0, 17, 36, 62, 69, 88, 79, 8
8, 98, 83, 100, 29, 59, 91, 29, 0, 2, 4, 2, 67, 35, 100, 0, 2
0, 67, 35, 98, 88, 100, 64, 65, 49, 39, 37, 59, 63, 0, 8, 64, 3
30, 92, 24, 57, 60, 0, 55, 31, 100, 71, 75, 100, 32, 90, 0, 63, 0
30, 83, 60, 27, 100, 89, 67, 28, 48, 43, 75, 37, 27, 0, 77, 16, 3
24, 59, 59, 100, 26, 63, 4, 29, 33, 16, 5, 29, 68, 19, 100, 0, 2
45, 100, 34, 79, 11, 97, 0, 23, 83, 0, 100, 16, 51, 78, 28, 23, 6
65, 82, 93, 100, 93, 76, 69, 44, 36, 20, 0, 0, 48, 12, 100, 36, 2
100, 100, 54, 1, 19, 59, 0, 77, 11, 51, 71, 0, 84, 17, 17, 17, 6
63, 66, 58, 100, 11, 76, 36, 38, 63, 45, 8, 3, 36, 75, 100, 62, 8
0, 98, 12, 100, 100, 96, 73, 63, 84, 31, 13, 0, 11, 77, 46, 32, 7
22, 100, 34, 75, 0, 43, 38, 41, 100, 38, 63, 68, 91, 32, 22, 26, 4
4, 100, 23, 93, 89, 36, 100, 0, 14, 6, 32, 85, 74, 85, 0, 89, 8
0, 3, 35, 100, 70, 99, 33, 71, 63, 59, 23, 24, 46, 44, 98, 0, 2
31, 99, 1, 59, 0, 92, 62, 0, 100, 20, 94, 100, 20, 83, 12, 28, 0
17, 68, 27, 100, 68, 55, 3, 49, 21, 20, 81, 59, 63, 4, 15, 0, 2
100, 100, 64, 78, 36, 50, 22, 17, 55, 0, 90, 17, 45, 24, 30, 17, 6
47, 100, 0, 48, 5, 29, 50, 0, 100, 18, 100, 63, 59, 83, 4, 91, 0
32, 71, 45, 100, 72, 77, 56, 44, 32, 12, 0, 4, 43, 48, 100, 0, 2
26, 58, 63, 100, 83, 83, 57, 57, 98, 40, 90, 10, 41, 0, 0, 12, 3
100, 81, 64, 100, 53, 68, 87, 55, 81, 87, 100, 20, 57, 0, 0, 8, 9
56, 97, 41, 63, 69, 43, 42, 0, 6, 28, 0, 32, 9, 94, 100, 100, 5
0, 14, 34, 48, 69, 41, 100, 95, 84, 72, 62, 47, 41, 24, 25, 49, 1
100, 94, 60, 100, 69, 85, 14, 53, 75, 68, 88, 78, 73, 39, 71, 0, 9
100, 18, 37, 7, 22, 62, 35, 26, 33, 0, 0, 19, 65, 48, 83, 34, 8
10, 80, 12, 57, 38, 0, 90, 4, 100, 44, 37, 82, 24, 100, 0, 62, 0
62, 98, 49, 35, 13, 69, 77, 93, 16, 0, 93, 13, 61, 41, 0, 64, 6
86, 47, 41, 79, 10, 50, 0, 18, 45, 56, 89, 57, 78, 36, 22, 29, 6
0, 45, 38, 54, 72, 76, 100, 100, 82, 79, 62, 52, 82, 68, 72, 0, 1
91, 100, 23, 83, 59, 64, 100, 83, 76, 74, 77, 46, 55, 20, 28, 0, 9
41, 94, 12, 74, 0, 44, 75, 46, 100, 78, 81, 67, 6, 37, 43, 0, 4
0, 86, 44, 100, 85, 86, 62, 42, 89, 47, 21, 4, 45, 38, 100, 43, 7
64, 83, 86, 79, 100, 76, 68, 53, 78, 36, 55, 11, 37, 3, 0, 39, 3
33, 100, 11, 69, 0, 99, 57, 37, 1, 54, 81, 58, 45, 30, 19, 0, 4
33, 100, 100, 98, 73, 61, 45, 87, 39, 0, 79, 25, 50, 57, 0, 52, 8
40, 60, 4, 54, 53, 77, 85, 23, 100, 88, 69, 57, 75, 32, 82, 0, 1
0, 85, 76, 100, 100, 82, 87, 39, 56, 0, 30, 33, 60, 41, 88, 33, 7
21, 73, 8, 40, 61, 0, 77, 1, 100, 10, 6, 27, 41, 100, 93, 86, 0
44, 35, 56, 100, 1, 88, 49, 35, 31, 15, 0, 6, 52, 67, 100, 12, 1
35, 64, 58, 100, 0, 91, 78, 73, 48, 10, 0, 1, 87, 0, 100, 1, 1
57, 73, 81, 60, 73, 100, 15, 72, 91, 85, 28, 42, 50, 0, 0, 86, 9
45, 100, 13, 79, 57, 52, 66, 91, 100, 66, 55, 50, 23, 26, 0, 0, 4
58, 100, 21, 71, 1, 30, 15, 0, 66, 2, 100, 28, 50, 32, 45, 47, 6
